# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.load.cache.from.file.ms,1788182727792000000,1788182776575000000,366
jps.facet.change.listener.before.change.events.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788182727792000000,1788182776575000000,0
workspaceModel.global.updates.count,1788182727792000000,1788182776575000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1788182727792000000,1788182776575000000,0
jps.app.storage.content.reader.load.component.ms,1788182727792000000,1788182776575000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788182727792000000,1788182776575000000,1
jps.save.changed.project.entities.ms,1788182727792000000,1788182776575000000,2
workspaceModel.delayed.project.synchronizer.sync.ms,1788182727792000000,1788182776575000000,189
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788182727792000000,1788182776575000000,0
jps.library.entities.serializer.load.entities.ms,1788182727792000000,1788182776575000000,0
jps.global.get.libraries.ms,1788182727792000000,1788182776575000000,1
jps.global.get.library.ms,1788182727792000000,1788182776575000000,0
workspaceModel.save.cache.to.file.ms,1788182727792000000,1788182776575000000,73
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788182727792000000,1788182776575000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788182727792000000,1788182776575000000,25
workspaceModel.mutableEntityStorage.put.entity.ms,1788182727792000000,1788182776575000000,8
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788182727792000000,1788182776575000000,0
workspaceModel.global.apply.state.to.project.ms,1788182727792000000,1788182776575000000,137
workspaceModel.mutableEntityStorage.entities.ms,1788182727792000000,1788182776575000000,2
jps.facet.change.listener.init.bridge.ms,1788182727792000000,1788182776575000000,8
workspaceModel.moduleManagerBridge.newModule.ms,1788182727792000000,1788182776575000000,0
jps.global.initialize.library.bridges.ms,1788182727792000000,1788182776575000000,2
jps.module.iml.entities.serializer.save.entities.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.instances.count,1788182727792000000,1788182776575000000,34
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788182727792000000,1788182776575000000,0
workspaceModel.sync.entities.ms,1788182727792000000,1788182776575000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1788182727792000000,1788182776575000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788182727792000000,1788182776575000000,2
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788182727792000000,1788182776575000000,16
workspaceModel.mutableEntityStorage.remove.entity.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788182727792000000,1788182776575000000,0
workspaceModel.moduleBridge.update.option.ms,1788182727792000000,1788182776575000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1788182727792000000,1788182776575000000,168
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1788182727792000000,1788182776575000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788182727792000000,1788182776575000000,0
jps.artifact.entities.serializer.save.entities.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788182727792000000,1788182776575000000,0
jps.library.entities.serializer.save.entities.ms,1788182727792000000,1788182776575000000,0
jps.apply.loaded.storage.ms,1788182727792000000,1788182776575000000,27
jps.save.global.entities.ms,1788182727792000000,1788182776575000000,4
workspaceModel.moduleManagerBridge.get.modules.ms,1788182727792000000,1788182776575000000,1
workspaceModel.global.updates.ms,1788182727792000000,1788182776575000000,15
jps.module.iml.entities.serializer.load.entities.ms,1788182727792000000,1788182776575000000,56
workspaceModel.moduleBridge.before.changed.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788182727792000000,1788182776575000000,4
jps.facet.change.listener.process.change.events.ms,1788182727792000000,1788182776575000000,5
jps.global.get.library.by.name.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1788182727792000000,1788182776575000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1788182727792000000,1788182776575000000,385
jps.reload.project.entities.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788182727792000000,1788182776575000000,0
jps.app.storage.content.writer.save.component.ms,1788182727792000000,1788182776575000000,1
jps.load.initial.state.ms,1788182727792000000,1788182776575000000,28
workspaceModel.orphan.listener.update.ms,1788182727792000000,1788182776575000000,4
jps.storage.jps.conf.reader.load.component.ms,1788182727792000000,1788182776575000000,7
jps.global.handle.before.change.events.ms,1788182727792000000,1788182776575000000,0
jps.artifact.entities.serializer.load.entities.ms,1788182727792000000,1788182776575000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788182727792000000,1788182776575000000,1
workspaceModel.do.save.caches.ms,1788182727792000000,1788182776575000000,81
jps.project.serializers.load.ms,1788182727792000000,1788182776575000000,90
workspaceModel.mutableEntityStorage.add.entity.ms,1788182727792000000,1788182776575000000,36
jps.global.handle.changed.events.ms,1788182727792000000,1788182776575000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788182727792000000,1788182776575000000,48
jps.project.serializers.save.ms,1788182727792000000,1788182776575000000,2
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788182727792000000,1788182776575000000,4
workspaceModel.global.apply.state.to.project.builder.ms,1788182727792000000,1788182776575000000,0
jps.load.project.to.empty.storage.ms,1788182727792000000,1788182776575000000,158
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788182727792000000,1788182776575000000,3
jps.global.initialize.library.bridges.after.loading.ms,1788182727792000000,1788182776575000000,6
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788182727792000000,1788182776575000000,17
Indexing.writer_1.totalTimeSpentWritingMs,1788182727792000000,1788182776575000000,0
Indexes.stubs.lookupDuration90PMs,1788182727792000000,1788182776575000000,0.0
Indexing.writesQueuedMax,1788182727792000000,1788182776575000000,0
Indexing.cache.totalCacheEvicted,1788182727792000000,1788182776575000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788182727792000000,1788182776575000000,0
Indexes.entries.lookupDuration90PMs,1788182727792000000,1788182776575000000,0.0
Indexes.entries.lookupDurationMaxMs,1788182727792000000,1788182776575000000,0.0
Indexes.stubs.lookupDurationMaxMs,1788182727792000000,1788182776575000000,0.0
Indexing.cache.totalCacheAccesses,1788182727792000000,1788182776575000000,0
Indexing.cache.totalCacheMisses,1788182727792000000,1788182776575000000,0
Indexes.entries.lookupDurationAvgMs,1788182727792000000,1788182776575000000,0.0
Indexes.stubs.lookups,1788182727792000000,1788182776575000000,0
Indexes.allKeys.lookupDuration90PMs,1788182727792000000,1788182776575000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1788182727792000000,1788182776575000000,0.0
Indexing.totalTimeIndexersSleptMs,1788182727792000000,1788182776575000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788182727792000000,1788182776575000000,0
Indexes.stubs.lookupDurationAvgMs,1788182727792000000,1788182776575000000,0.0
Indexes.allKeys.lookups,1788182727792000000,1788182776575000000,1
Indexing.writer_3.totalTimeSpentWritingMs,1788182727792000000,1788182776575000000,0
Indexes.entries.lookups,1788182727792000000,1788182776575000000,1
Indexing.writesQueuedMin,1788182727792000000,1788182776575000000,9223372036854775807
Indexes.allKeys.lookupDurationAvgMs,1788182727792000000,1788182776575000000,0.0
JVM.totalCpuTimeMs,1788182727792000000,1788182776575000000,100392
MEM.ramBytes,1788182727792000000,1788182776575000000,2106245120
