# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
cacheStateStorage.set.counter,1788181874383000000,1788181914134000000,1
cacheStateStorage.get.counter,1788181874383000000,1788181914134000000,1
cacheStateStorage.set.duration,1788181874383000000,1788181914134000000,21
cacheStateStorage.get.duration,1788181874383000000,1788181914134000000,0
AWTEventQueue.dispatchTimeTotalNS,1788181874383000000,1788181914134000000,5420419551
Indexing.writer_1.totalTimeSpentWritingMs,1788181874383000000,1788181914134000000,0
Indexing.writesQueuedMax,1788181874383000000,1788181914134000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788181874383000000,1788181914134000000,0
Indexing.cache.totalCacheAccesses,1788181874383000000,1788181914134000000,0
Indexing.totalTimeIndexersSleptMs,1788181874383000000,1788181914134000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1788181874383000000,1788181914134000000,0
Indexing.cache.totalCacheMisses,1788181874383000000,1788181914134000000,0
Indexing.writesQueuedMin,1788181874383000000,1788181914134000000,9223372036854775807
Indexing.writer_0.totalTimeSpentWritingMs,1788181874383000000,1788181914134000000,0
Indexing.cache.totalCacheEvicted,1788181874383000000,1788181914134000000,0
writeAction.count,1788181874383000000,1788181914134000000,1
DiskQueryRelay.taskExecutionTotalTimeUs,1788181874383000000,1788181914134000000,48551
writeAction.median.wait.ms,1788181874383000000,1788181914134000000,0
DiskQueryRelay.tasksExecuted,1788181874383000000,1788181914134000000,31
DiskQueryRelay.tasksRequested,1788181874383000000,1788181914134000000,31
writeAction.max.wait.ms,1788181874383000000,1788181914134000000,1
writeAction.wait.ms,1788181874383000000,1788181914134000000,1
DiskQueryRelay.taskWaitingTotalTimeUs,1788181874383000000,1788181914134000000,84100
workspaceModel.global.updates.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788181874383000000,1788181914134000000,0
workspaceModel.global.updates.count,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788181874383000000,1788181914134000000,0
jps.load.initial.state.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788181874383000000,1788181914134000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788181874383000000,1788181914134000000,0
workspaceModel.do.save.caches.ms,1788181874383000000,1788181914134000000,0
workspaceModel.global.apply.state.to.project.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1788181874383000000,1788181914134000000,0
jps.save.global.entities.ms,1788181874383000000,1788181914134000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788181874383000000,1788181914134000000,0
workspaceModel.load.cache.from.file.ms,1788181874383000000,1788181914134000000,0
workspaceModel.save.cache.to.file.ms,1788181874383000000,1788181914134000000,0
workspaceModel.mutableEntityStorage.instances.count,1788181874383000000,1788181914134000000,2
workspaceModel.sync.entities.ms,1788181874383000000,1788181914134000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788181874383000000,1788181914134000000,0
FilePageCache.capacityInBytes,1788181874383000000,1788181914134000000,629145600
FilePageCache.totalPageDisposalsUs,1788181874383000000,1788181914134000000,2948
FilePageCache.pageLoadsAboveSizeThreshold,1788181874383000000,1788181914134000000,0
FilePageCache.pageHits,1788181874383000000,1788181914134000000,0
StorageLockContext.competingThreads.90P,1788181874383000000,1788181914134000000,0
FilePageCache.totalPageLoadsUs,1788181874383000000,1788181914134000000,2151632
FilePageCache.pageLoads,1788181874383000000,1788181914134000000,254
