# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.cache.directoriesCreated,1788182224264000000,1788182284453000000,89
VFS.cache.segmentsCreated,1788182224264000000,1788182284453000000,8
VFS.contentStorage.recordsReadSize,1788182224264000000,1788182284453000000,0
VFS.fileChildByName,1788182224264000000,1788182284453000000,1761
VFS.cache.segments,1788182224264000000,1788182284453000000,8.0
FileNameCache.totalMisses,1788182224264000000,1788182284453000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1788182224264000000,1788182284453000000,0
VFS.contentStorage.recordsStoredSize,1788182224264000000,1788182284453000000,0
VFS.rootsCount,1788182224264000000,1788182284453000000,9.0
VFS.contentStorage.recordsRead,1788182224264000000,1788182284453000000,0
VFS.invertedFileNameIndex.requests,1788182224264000000,1788182284453000000,0
VFS.fileByIdCache.misses,1788182224264000000,1788182284453000000,27
VFS.contentStorage.recordsUncompressedSize,1788182224264000000,1788182284453000000,0
VFS.contentStorage.recordsDeduplicated,1788182224264000000,1788182284453000000,0
VFS.folderCaseSensitivityReads,1788182224264000000,1788182284453000000,0
VFS.contentStorage.recordsReadDecompressed,1788182224264000000,1788182284453000000,0
VFS.contentStorage.recordsStored,1788182224264000000,1788182284453000000,0
VFS.cache.filesCreated,1788182224264000000,1788182284453000000,808
FileNameCache.queries,1788182224264000000,1788182284453000000,2496
VFS.contentStorage.recordsStoredCompressed,1788182224264000000,1788182284453000000,0
VFS.fileByIdCache.hits,1788182224264000000,1788182284453000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1788182224264000000,1788182284453000000,69062
DirectByteBufferAllocator.disposed,1788182224264000000,1788182284453000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1788182224264000000,1788182284453000000,199922
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788182224264000000,1788182284453000000,277889024
FilePageCache.maxRegisteredFiles,1788182224264000000,1788182284453000000,682
StreamlinedBlobStorage.recordsDeleted,1788182224264000000,1788182284453000000,3
FilePageCache.pageLoads,1788182224264000000,1788182284453000000,270
StreamlinedBlobStorage.recordsRelocated,1788182224264000000,1788182284453000000,0
MappedFileStorage.totalPagesMapped,1788182224264000000,1788182284453000000,16
StreamlinedBlobStorage.recordsAllocated,1788182224264000000,1788182284453000000,2540
FilePageCache.totalPageLoadsUs,1788182224264000000,1788182284453000000,749980
FilePageCache.pageLoadsAboveSizeThreshold,1788182224264000000,1788182284453000000,0
FilePageCache.capacityInBytes,1788182224264000000,1788182284453000000,629145600
FilePageCache.maxCacheSizeInBytes,1788182224264000000,1788182284453000000,277889024
FilePageCache.disposedBuffers,1788182224264000000,1788182284453000000,3
MappedFileStorage.totalBytesMapped,1788182224264000000,1788182284453000000,202637312
FilePageCache.uncachedFileAccess,1788182224264000000,1788182284453000000,122
FileChannelInterruptsRetryer.totalRetriedAttempts,1788182224264000000,1788182284453000000,0
