# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.from.cache.count,1788181958716000000,1788182018927000000,0
workspaceModel.update.unloaded.entities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.updates.count,1788181958716000000,1788182018927000000,3
workspaceModel.full.replace.project.model.ms,1788181958716000000,1788182018927000000,295
workspaceModel.cachedValue.clear.count,1788181958716000000,1788182018927000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1788181958716000000,1788182018927000000,189
workspaceModel.cachedValue.calculated.count,1788181958716000000,1788182018927000000,15
workspaceModel.workspaceFileIndexData.init.ms,1788181958716000000,1788182018927000000,69
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1788181958716000000,1788182018927000000,0
workspaceModel.initializing.ms,1788181958716000000,1788182018927000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1788181958716000000,1788182018927000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1788181958716000000,1788182018927000000,0
workspaceModel.pre.handlers.ms,1788181958716000000,1788182018927000000,1
workspaceModel.entityStorageSnapshotImpl.instances.count,1788181958716000000,1788182018927000000,25
workspaceModel.collect.changes.ms,1788181958716000000,1788182018927000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1788181958716000000,1788182018927000000,0
workspaceModel.workspaceFileIndexData.getPackageName.ms,1788181958716000000,1788182018927000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1788181958716000000,1788182018927000000,0
workspaceModel.on.before.changed.ms,1788181958716000000,1788182018927000000,292
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1788181958716000000,1788182018927000000,138
workspaceModel.cachedValue.total.get.count,1788181958716000000,1788182018927000000,63
workspaceModel.cachedValue.from.cache.count,1788181958716000000,1788182018927000000,48
workspaceModel.check.recursive.update.ms,1788181958716000000,1788182018927000000,0
workspaceModel.replace.project.model.ms,1788181958716000000,1788182018927000000,29
workspaceModel.loading.from.cache.ms,1788181958716000000,1788182018927000000,108
workspaceModel.cachedValueWithParameters.total.get.count,1788181958716000000,1788182018927000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1788181958716000000,1788182018927000000,25
workspaceModel.loading.total.ms,1788181958716000000,1788182018927000000,125
workspaceModel.updates.ms,1788181958716000000,1788182018927000000,175
workspaceModel.workspaceFileIndexData.instances.count,1788181958716000000,1788182018927000000,1
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1788181958716000000,1788182018927000000,175
workspaceModel.init.bridges.ms,1788181958716000000,1788182018927000000,10
workspaceModel.to.snapshot.ms,1788181958716000000,1788182018927000000,1
workspaceModel.cachedValueWithParameters.clear.count,1788181958716000000,1788182018927000000,0
workspaceModel.updates.precise.ms,1788181958716000000,1788182018927000000,6
parser.JAVA.size.bytes,1788181958716000000,1788182018927000000,4704
lexer.JAVA.size.bytes,1788181958716000000,1788182018927000000,4704
parser.TypeScript.time.ns,1788181958716000000,1788182018927000000,3135465747
writeAction.max.wait.ms,1788181958716000000,1788182018927000000,32
parser.Flow.JS.size.bytes,1788181958716000000,1788182018927000000,140172
parser.Flow.JS.time.ns,1788181958716000000,1788182018927000000,348019546
lexer.Flow.JS.time.ns,1788181958716000000,1788182018927000000,103752348
lexer.ECMAScript.6.time.ns,1788181958716000000,1788182018927000000,1005683
writeAction.wait.ms,1788181958716000000,1788182018927000000,140
DiskQueryRelay.taskWaitingTotalTimeUs,1788181958716000000,1788182018927000000,2812189
lexer.Flow.JS.size.bytes,1788181958716000000,1788182018927000000,140172
parser.JAVA.time.ns,1788181958716000000,1788182018927000000,58043704
LowMemory.gcLoad,1788181958716000000,1788182018927000000,0.0
lexer.JSON.time.ns,1788181958716000000,1788182018927000000,489243
parser.Groovy.time.ns,1788181958716000000,1788182018927000000,2993891175
lexer.Groovy.time.ns,1788181958716000000,1788182018927000000,146873601
parser.ECMAScript.6.time.ns,1788181958716000000,1788182018927000000,43108188
writeAction.count,1788181958716000000,1788182018927000000,16
lexer.JSON.size.bytes,1788181958716000000,1788182018927000000,503
parser.TypeScript.size.bytes,1788181958716000000,1788182018927000000,3375955
lexer.ECMAScript.6.size.bytes,1788181958716000000,1788182018927000000,1716
parser.JSON.size.bytes,1788181958716000000,1788182018927000000,503
LowMemory.gcOverloaded,1788181958716000000,1788182018927000000,0
lexer.Groovy.size.bytes,1788181958716000000,1788182018927000000,74779
DiskQueryRelay.taskExecutionTotalTimeUs,1788181958716000000,1788182018927000000,1249874
lexer.JAVA.time.ns,1788181958716000000,1788182018927000000,2463290
lexer.TypeScript.time.ns,1788181958716000000,1788182018927000000,492449184
DiskQueryRelay.tasksExecuted,1788181958716000000,1788182018927000000,3382
parser.JSON.time.ns,1788181958716000000,1788182018927000000,30
writeAction.median.wait.ms,1788181958716000000,1788182018927000000,0
parser.ECMAScript.6.size.bytes,1788181958716000000,1788182018927000000,3240
parser.Groovy.size.bytes,1788181958716000000,1788182018927000000,74779
lexer.TypeScript.size.bytes,1788181958716000000,1788182018927000000,3375955
DiskQueryRelay.tasksRequested,1788181958716000000,1788182018927000000,3382
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788181958716000000,1788182018927000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1788181958716000000,1788182018927000000,0
jps.load.initial.state.ms,1788181958716000000,1788182018927000000,45
workspaceModel.orphan.listener.update.ms,1788181958716000000,1788182018927000000,6
