# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.fileChildByName,1788181576677000000,1788181624472000000,365
VFS.invertedFileNameIndex.requests,1788181576677000000,1788181624472000000,0
VFS.fileByIdCache.hits,1788181576677000000,1788181624472000000,0
VFS.folderCaseSensitivityReads,1788181576677000000,1788181624472000000,28
VFS.fileByIdCache.misses,1788181576677000000,1788181624472000000,0
VFS.rootsCount,1788181576677000000,1788181624472000000,0.0
workspaceModel.cachedValueWithParameters.calculated.count,1788181576677000000,1788181624472000000,0
workspaceModel.loading.from.cache.ms,1788181576677000000,1788181624472000000,63
workspaceModel.full.replace.project.model.ms,1788181576677000000,1788181624472000000,0
workspaceModel.pre.handlers.ms,1788181576677000000,1788181624472000000,0
workspaceModel.loading.total.ms,1788181576677000000,1788181624472000000,77
workspaceModel.on.changed.ms,1788181576677000000,1788181624472000000,0
workspaceModel.collect.changes.ms,1788181576677000000,1788181624472000000,0
workspaceModel.cachedValue.total.get.count,1788181576677000000,1788181624472000000,12
workspaceModel.init.bridges.ms,1788181576677000000,1788181624472000000,0
workspaceModel.check.recursive.update.ms,1788181576677000000,1788181624472000000,0
workspaceModel.cachedValue.from.cache.count,1788181576677000000,1788181624472000000,10
workspaceModel.updates.count,1788181576677000000,1788181624472000000,0
workspaceModel.on.before.changed.ms,1788181576677000000,1788181624472000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1788181576677000000,1788181624472000000,0
workspaceModel.updates.ms,1788181576677000000,1788181624472000000,0
workspaceModel.cachedValue.clear.count,1788181576677000000,1788181624472000000,0
workspaceModel.replace.project.model.ms,1788181576677000000,1788181624472000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1788181576677000000,1788181624472000000,0
workspaceModel.cachedValue.calculated.count,1788181576677000000,1788181624472000000,2
workspaceModel.update.unloaded.entities.ms,1788181576677000000,1788181624472000000,0
workspaceModel.cachedValueWithParameters.clear.count,1788181576677000000,1788181624472000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1788181576677000000,1788181624472000000,4
workspaceModel.to.snapshot.ms,1788181576677000000,1788181624472000000,0
workspaceModel.initializing.ms,1788181576677000000,1788181624472000000,0
workspaceModel.updates.precise.ms,1788181576677000000,1788181624472000000,0
Indexing.writesQueuedMax,1788181576677000000,1788181624472000000,0
Indexes.allKeys.lookupDuration90PMs,1788181576677000000,1788181624472000000,0.0
Indexes.stubs.lookupDuration90PMs,1788181576677000000,1788181624472000000,0.0
Indexes.entries.lookupDurationAvgMs,1788181576677000000,1788181624472000000,10.0
Indexes.stubs.lookupDurationAvgMs,1788181576677000000,1788181624472000000,0.0
Indexing.totalTimeIndexersSleptMs,1788181576677000000,1788181624472000000,0
Indexing.writesQueuedMin,1788181576677000000,1788181624472000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1788181576677000000,1788181624472000000,0
Indexes.entries.lookups,1788181576677000000,1788181624472000000,1
Indexing.writer_3.totalTimeSpentWritingMs,1788181576677000000,1788181624472000000,0
Indexes.entries.lookupDuration90PMs,1788181576677000000,1788181624472000000,10.0
Indexing.cache.totalCacheEvicted,1788181576677000000,1788181624472000000,0
Indexing.writesQueuedAvg,1788181576677000000,1788181624472000000,0.0
Indexes.stubs.lookups,1788181576677000000,1788181624472000000,0
Indexes.allKeys.lookupDurationAvgMs,1788181576677000000,1788181624472000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1788181576677000000,1788181624472000000,0.0
Indexes.allKeys.lookups,1788181576677000000,1788181624472000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1788181576677000000,1788181624472000000,0
Indexing.cache.totalCacheMisses,1788181576677000000,1788181624472000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1788181576677000000,1788181624472000000,0
Indexes.stubs.lookupDurationMaxMs,1788181576677000000,1788181624472000000,0.0
Indexes.entries.lookupDurationMaxMs,1788181576677000000,1788181624472000000,10.0
Indexing.cache.totalCacheAccesses,1788181576677000000,1788181624472000000,0
FilePageCache.totalPageLoadsUs,1788181576677000000,1788181624472000000,439059
MappedFileStorage.totalTimeSpentOnMappingUs,1788181576677000000,1788181624472000000,391973
StorageLockContext.competingThreads.90P,1788181576677000000,1788181624472000000,0
FilePageCache.pageHits,1788181576677000000,1788181624472000000,0
DirectByteBufferAllocator.reclaimed,1788181576677000000,1788181624472000000,43
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788181576677000000,1788181624472000000,41943040
StorageLockContext.competingThreads.avg,1788181576677000000,1788181624472000000,0.08695652173913043
FilePageCache.maxRegisteredFiles,1788181576677000000,1788181624472000000,844
FilePageCache.maxCacheSizeInBytes,1788181576677000000,1788181624472000000,321912832
FilePageCache.disposedBuffers,1788181576677000000,1788181624472000000,310
MappedFileStorage.storages,1788181576677000000,1788181624472000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788181576677000000,1788181624472000000,41943040
FilePageCache.totalPageDisposalsUs,1788181576677000000,1788181624472000000,11387
FileChannelInterruptsRetryer.totalRetriedAttempts,1788181576677000000,1788181624472000000,0
MappedFileStorage.totalBytesMapped,1788181576677000000,1788181624472000000,0
MappedFileStorage.totalPagesMapped,1788181576677000000,1788181624472000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1788181576677000000,1788181624472000000,0
DirectByteBufferAllocator.disposed,1788181576677000000,1788181624472000000,267
FilePageCache.pageFastCacheHits,1788181576677000000,1788181624472000000,21572
DirectByteBufferAllocator.hits,1788181576677000000,1788181624472000000,3
FilePageCache.uncachedFileAccess,1788181576677000000,1788181624472000000,463
DirectByteBufferAllocator.misses,1788181576677000000,1788181624472000000,307
FilePageCache.capacityInBytes,1788181576677000000,1788181624472000000,629145600
FilePageCache.pageLoads,1788181576677000000,1788181624472000000,310
StorageLockContext.competingThreads.max,1788181576677000000,1788181624472000000,8
cacheStateStorage.set.counter,1788181576677000000,1788181624472000000,0
cacheStateStorage.get.duration,1788181576677000000,1788181624472000000,0
cacheStateStorage.get.counter,1788181576677000000,1788181624472000000,10
cacheStateStorage.set.duration,1788181576677000000,1788181624472000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788181576677000000,1788181624472000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788181576677000000,1788181624472000000,3
workspaceModel.mutableEntityStorage.collect.changes.ms,1788181576677000000,1788181624472000000,1
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788181576677000000,1788181624472000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788181576677000000,1788181624472000000,2
workspaceModel.do.save.caches.ms,1788181576677000000,1788181624472000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788181576677000000,1788181624472000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788181576677000000,1788181624472000000,0
jps.global.get.library.by.name.ms,1788181576677000000,1788181624472000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788181576677000000,1788181624472000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788181576677000000,1788181624472000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788181576677000000,1788181624472000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1788181576677000000,1788181624472000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788181576677000000,1788181624472000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1788181576677000000,1788181624472000000,0
jps.library.entities.serializer.save.entities.ms,1788181576677000000,1788181624472000000,0
workspaceModel.global.apply.state.to.project.ms,1788181576677000000,1788181624472000000,0
jps.global.handle.before.change.events.ms,1788181576677000000,1788181624472000000,0
