# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
MappedFileStorage.totalBytesMapped,1788266341505000000,1788266355030000000,0
MappedFileStorage.storages,1788266341505000000,1788266355030000000,0
DirectByteBufferAllocator.misses,1788266341505000000,1788266355030000000,249
FilePageCache.maxCacheSizeInBytes,1788266341505000000,1788266355030000000,259014656
FilePageCache.capacityInBytes,1788266341505000000,1788266355030000000,629145600
StorageLockContext.competingThreads.90P,1788266341505000000,1788266355030000000,8
FilePageCache.uncachedFileAccess,1788266341505000000,1788266355030000000,122
FilePageCache.totalPageDisposalsUs,1788266341505000000,1788266355030000000,5541
FilePageCache.pageFastCacheHits,1788266341505000000,1788266355030000000,4965
DirectByteBufferAllocator.reclaimed,1788266341505000000,1788266355030000000,45
MappedFileStorage.totalPagesMapped,1788266341505000000,1788266355030000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788266341505000000,1788266355030000000,41959424
DirectByteBufferAllocator.hits,1788266341505000000,1788266355030000000,3
FilePageCache.maxRegisteredFiles,1788266341505000000,1788266355030000000,682
DirectByteBufferAllocator.disposed,1788266341505000000,1788266355030000000,207
MappedFileStorage.totalTimeSpentOnMappingUs,1788266341505000000,1788266355030000000,10449
FileChannelInterruptsRetryer.totalRetriedAttempts,1788266341505000000,1788266355030000000,0
StorageLockContext.competingThreads.avg,1788266341505000000,1788266355030000000,3.1739130434782608
FilePageCache.disposedBuffers,1788266341505000000,1788266355030000000,252
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788266341505000000,1788266355030000000,41959424
FilePageCache.pageLoads,1788266341505000000,1788266355030000000,252
FilePageCache.totalPageLoadsUs,1788266341505000000,1788266355030000000,8755095
FilePageCache.pageLoadsAboveSizeThreshold,1788266341505000000,1788266355030000000,0
FilePageCache.pageHits,1788266341505000000,1788266355030000000,0
StorageLockContext.competingThreads.max,1788266341505000000,1788266355030000000,8
writeAction.median.wait.ms,1788266341505000000,1788266355030000000,0
