# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedHeapBytes,1788183166235000000,1788183226249000000,625778984
JVM.maxThreadCount,1788183166235000000,1788183226249000000,132
MEM.ramBytes,1788183166235000000,1788183226249000000,2275999744
JVM.maxHeapBytes,1788183166235000000,1788183226249000000,2147483648
JVM.totalTimeAtSafepointsMs,1788183166235000000,1788183226249000000,698
JVM.totalBytesAllocated,1788183166235000000,1788183226249000000,4548462168
JVM.GC.collectionTimesMs,1788183166235000000,1788183226249000000,692
JVM.usedNativeBytes,1788183166235000000,1788183226249000000,424533456
JVM.GC.collections,1788183166235000000,1788183226249000000,67
OS.loadAverage,1788183166235000000,1788183226249000000,6.646484375
JVM.totalSafepointCount,1788183166235000000,1788183226249000000,97
MEM.ramMinusFileMappingsBytes,1788183166235000000,1788183226249000000,1669144576
MEM.fileMappingsRamBytes,1788183166235000000,1788183226249000000,432021504
JVM.committedHeapBytes,1788183166235000000,1788183226249000000,678428672
JVM.totalTimeToSafepointsMs,1788183166235000000,1788183226249000000,61
JVM.totalCpuTimeMs,1788183166235000000,1788183226249000000,108111
JVM.totalDirectByteBuffersBytes,1788183166235000000,1788183226249000000,402767880
JVM.newThreadsCount,1788183166235000000,1788183226249000000,182
JVM.threadCount,1788183166235000000,1788183226249000000,130
MEM.ramPlusSwapMinusFileMappingsBytes,1788183166235000000,1788183226249000000,1743278080
WriteAction.executionsCount,1788183166235000000,1788183226249000000,20
FlushQueue.waitingTimeAvgNs,1788183166235000000,1788183226249000000,8.558955346699266E7
NonBlockingReadAction.finalizedExecutionTimeUs,1788183166235000000,1788183226249000000,640939
FlushQueue.queueSizeMax,1788183166235000000,1788183226249000000,213
NonBlockingReadAction.failedExecutionsCount,1788183166235000000,1788183226249000000,2
FlushQueue.waitingTimeMaxNs,1788183166235000000,1788183226249000000,4294967295
FlushQueue.executionTimeAvgNs,1788183166235000000,1788183226249000000,1.130290159804401E7
AWTEventQueue.dispatchTime90PNs,1788183166235000000,1788183226249000000,1286143
FlushQueue.executionTime90PNs,1788183166235000000,1788183226249000000,753663
FlushQueue.waitingTime90PNs,1788183166235000000,1788183226249000000,158334975
FlushQueue.tasksExecuted,1788183166235000000,1788183226249000000,2045
NonBlockingReadAction.failedExecutionTimeUs,1788183166235000000,1788183226249000000,274203
NonBlockingReadAction.finalizedExecutionsCount,1788183166235000000,1788183226249000000,22
AWTEventQueue.eventsDispatched,1788183166235000000,1788183226249000000,5018
AWTEventQueue.dispatchTimeMaxNs,1788183166235000000,1788183226249000000,2105540607
FlushQueue.executionTimeMaxNs,1788183166235000000,1788183226249000000,8992587775
ReadAction.executionsCount,1788183166235000000,1788183226249000000,3816
AWTEventQueue.dispatchTimeTotalNS,1788183166235000000,1788183226249000000,13403122470
FlushQueue.queueSize90P,1788183166235000000,1788183226249000000,122
AWTEventQueue.dispatchTimeAvgNs,1788183166235000000,1788183226249000000,2671080.2997210044
FlushQueue.queueSizeAvg,1788183166235000000,1788183226249000000,30.580929095354524
