# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionsCount,1788266058953000000,1788266114116000000,12
NonBlockingReadAction.failedExecutionTimeUs,1788266058953000000,1788266114116000000,0
AWTEventQueue.dispatchTimeTotalNS,1788266058953000000,1788266114116000000,7212445156
NonBlockingReadAction.failedExecutionsCount,1788266058953000000,1788266114116000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1788266058953000000,1788266114116000000,390483
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1788266058953000000,1788266114116000000,0
workspaceModel.global.updates.count,1788266058953000000,1788266114116000000,1
workspaceModel.load.cache.from.file.ms,1788266058953000000,1788266114116000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1788266058953000000,1788266114116000000,0
workspaceModel.global.apply.state.to.project.ms,1788266058953000000,1788266114116000000,0
jps.load.initial.state.ms,1788266058953000000,1788266114116000000,108
workspaceModel.moduleManagerBridge.load.module.ms,1788266058953000000,1788266114116000000,0
jps.library.entities.serializer.save.entities.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1788266058953000000,1788266114116000000,0
jps.global.get.library.by.name.ms,1788266058953000000,1788266114116000000,0
workspaceModel.global.updates.ms,1788266058953000000,1788266114116000000,39
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.instances.count,1788266058953000000,1788266114116000000,5
workspaceModel.moduleManagerBridge.newModule.ms,1788266058953000000,1788266114116000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788266058953000000,1788266114116000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1788266058953000000,1788266114116000000,0
jps.global.initialize.library.bridges.after.loading.ms,1788266058953000000,1788266114116000000,32
workspaceModel.mutableEntityStorage.collect.changes.ms,1788266058953000000,1788266114116000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788266058953000000,1788266114116000000,0
jps.global.handle.changed.events.ms,1788266058953000000,1788266114116000000,0
workspaceModel.do.save.caches.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1788266058953000000,1788266114116000000,0
workspaceModel.load.cache.metadata.from.file.ms,1788266058953000000,1788266114116000000,0
jps.save.global.entities.ms,1788266058953000000,1788266114116000000,143
workspaceModel.mutableEntityStorage.resolve.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788266058953000000,1788266114116000000,0
workspaceModel.sync.entities.ms,1788266058953000000,1788266114116000000,0
jps.global.get.library.ms,1788266058953000000,1788266114116000000,0
jps.global.get.libraries.ms,1788266058953000000,1788266114116000000,193
workspaceModel.save.cache.to.file.ms,1788266058953000000,1788266114116000000,145
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788266058953000000,1788266114116000000,3
workspaceModel.mutableEntityStorage.modify.entity.ms,1788266058953000000,1788266114116000000,0
jps.global.handle.before.change.events.ms,1788266058953000000,1788266114116000000,0
jps.library.entities.serializer.load.entities.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1788266058953000000,1788266114116000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1788266058953000000,1788266114116000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1788266058953000000,1788266114116000000,0
jps.global.initialize.library.bridges.ms,1788266058953000000,1788266114116000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1788266058953000000,1788266114116000000,4
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788266058953000000,1788266114116000000,0
jps.app.storage.content.reader.load.component.ms,1788266058953000000,1788266114116000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1788266058953000000,1788266114116000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1788266058953000000,1788266114116000000,1
workspaceModel.mutableEntityStorage.put.entity.ms,1788266058953000000,1788266114116000000,15
jps.app.storage.content.writer.save.component.ms,1788266058953000000,1788266114116000000,99
workspaceModel.mutableEntityStorage.replace.by.source.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788266058953000000,1788266114116000000,0
workspaceModel.mutableEntityStorage.entities.ms,1788266058953000000,1788266114116000000,7
workspaceModel.mutableEntityStorage.add.entity.ms,1788266058953000000,1788266114116000000,25
FilePageCache.pageLoads,1788266058953000000,1788266114116000000,310
FileChannelInterruptsRetryer.totalRetriedAttempts,1788266058953000000,1788266114116000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788266058953000000,1788266114116000000,41943040
FilePageCache.disposedBuffers,1788266058953000000,1788266114116000000,310
StorageLockContext.competingThreads.max,1788266058953000000,1788266114116000000,8
FilePageCache.uncachedFileAccess,1788266058953000000,1788266114116000000,463
DirectByteBufferAllocator.hits,1788266058953000000,1788266114116000000,3
FilePageCache.maxRegisteredFiles,1788266058953000000,1788266114116000000,844
FilePageCache.capacityInBytes,1788266058953000000,1788266114116000000,629145600
DirectByteBufferAllocator.misses,1788266058953000000,1788266114116000000,307
StorageLockContext.competingThreads.avg,1788266058953000000,1788266114116000000,0.08411214953271028
FilePageCache.pageHits,1788266058953000000,1788266114116000000,0
FilePageCache.totalPageLoadsUs,1788266058953000000,1788266114116000000,556597
FilePageCache.pageLoadsAboveSizeThreshold,1788266058953000000,1788266114116000000,0
FilePageCache.totalPageDisposalsUs,1788266058953000000,1788266114116000000,8324
FilePageCache.pageFastCacheHits,1788266058953000000,1788266114116000000,21572
