# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
DiskQueryRelay.taskWaitingTotalTimeUs,1788183656857000000,1788183683554000000,420323
DiskQueryRelay.taskExecutionTotalTimeUs,1788183656857000000,1788183683554000000,378568
DiskQueryRelay.tasksExecuted,1788183656857000000,1788183683554000000,215
writeAction.median.wait.ms,1788183656857000000,1788183683554000000,0
DiskQueryRelay.tasksRequested,1788183656857000000,1788183683554000000,215
writeAction.max.wait.ms,1788183656857000000,1788183683554000000,1
writeAction.wait.ms,1788183656857000000,1788183683554000000,1
writeAction.count,1788183656857000000,1788183683554000000,12
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1788183656857000000,1788183683554000000,41943040
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1788183656857000000,1788183683554000000,41943040
DirectByteBufferAllocator.misses,1788183656857000000,1788183683554000000,247
FilePageCache.pageHits,1788183656857000000,1788183683554000000,0
FilePageCache.disposedBuffers,1788183656857000000,1788183683554000000,250
FilePageCache.totalPageDisposalsUs,1788183656857000000,1788183683554000000,2465
DirectByteBufferAllocator.hits,1788183656857000000,1788183683554000000,3
DirectByteBufferAllocator.reclaimed,1788183656857000000,1788183683554000000,43
StorageLockContext.competingThreads.max,1788183656857000000,1788183683554000000,0
StorageLockContext.competingThreads.90P,1788183656857000000,1788183683554000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1788183656857000000,1788183683554000000,0
DirectByteBufferAllocator.disposed,1788183656857000000,1788183683554000000,207
FilePageCache.capacityInBytes,1788183656857000000,1788183683554000000,629145600
FilePageCache.uncachedFileAccess,1788183656857000000,1788183683554000000,120
FilePageCache.totalPageLoadsUs,1788183656857000000,1788183683554000000,288133
FilePageCache.pageLoads,1788183656857000000,1788183683554000000,250
StorageLockContext.competingThreads.avg,1788183656857000000,1788183683554000000,0.0
FilePageCache.pageFastCacheHits,1788183656857000000,1788183683554000000,4960
FileChannelInterruptsRetryer.totalRetriedAttempts,1788183656857000000,1788183683554000000,0
FilePageCache.maxRegisteredFiles,1788183656857000000,1788183683554000000,680
FilePageCache.maxCacheSizeInBytes,1788183656857000000,1788183683554000000,258998272
workspaceModel.global.apply.state.to.project.builder.ms,1788183656857000000,1788183683554000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1788183656857000000,1788183683554000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1788183656857000000,1788183683554000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1788183656857000000,1788183683554000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1788183656857000000,1788183683554000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1788183656857000000,1788183683554000000,0
workspaceModel.global.apply.state.to.project.ms,1788183656857000000,1788183683554000000,0
jps.load.initial.state.ms,1788183656857000000,1788183683554000000,21
workspaceModel.mutableEntityStorage.to.snapshot.ms,1788183656857000000,1788183683554000000,2
jps.global.initialize.library.bridges.after.loading.ms,1788183656857000000,1788183683554000000,6
workspaceModel.do.save.caches.ms,1788183656857000000,1788183683554000000,0
jps.app.storage.content.reader.load.component.ms,1788183656857000000,1788183683554000000,1
workspaceModel.mutableEntityStorage.hasReferrers.ms,1788183656857000000,1788183683554000000,0
